,こばけん,コヤヤッコ,たまば,バー高,松丸
1,-30.3,42.4,-14.6,2.5,0
2,-31.5,17.5,-26.3,40.3,0
3,5.8,21.3,-52.3,25.2,0
4,-42.3,4,-55.8,94.1,0
5,-51.5,12.4,-103.4,142.5,0
6,-80.6,-4.1,-96.6,181.3,0
7,-87.4,44.9,-150.1,192.6,0
8,-100.8,19.5,-113.3,194.6,0
9,-56,33,-155.8,178.8,0
10,-108,41.1,-100.8,167.7,0
11,-122.4,39.3,-53.5,136.6,0
12,-147.1,25.9,-13.7,134.9,0
13,-146.2,67.1,-43.3,122.4,0
14,-151.5,124.7,-60,86.8,0
15,-107.2,113.7,-105.3,98.8,0
16,-152.6,112.4,-43.2,83.4,0
17,-196.2,94,-29.2,131.4,0
18,-212.2,63.9,21.5,126.8,0
19,-240.7,68.3,5.7,166.7,0
20,-247.9,73,42.5,132.4,0
21,-278.4,59.8,43.9,174.7,0
22,-314.2,37,38.1,239.1,0
23,-326.6,35.5,11.9,279.2,0
24,-342.8,40.2,-17.7,320.3,0
25,-334.8,-5.8,27.7,312.9,0
26,-286.4,-1.2,20.7,266.9,0
27,-314.2,-17.2,19.2,312.2,0
28,-330.1,-43.2,22.9,350.4,0
29,-275.8,-38.6,-20,334.4,0
30,-269.3,-75.8,24.5,320.6,0
31,-264.2,-110.4,5.7,368.9,0
32,-277.2,-63,-28.4,368.6,0
33,-231.3,-69.1,-77.2,377.6,0
34,-165.2,-66.7,-97,328.9,0
35,-126.7,-62.1,-106.4,295.2,0
36,-159.9,-16.1,-96.9,272.9,0
37,-152.4,-49.5,-114.9,316.8,0
38,-200.5,-65,-64.6,330.1,0
39,-190.7,-19.2,-104,313.9,0
40,-200.5,-16.4,-147.3,364.2,0
41,-200.2,23.8,-175.2,351.6,0
42,-197.9,-15.6,-123,336.5,0
43,-192.1,-52.9,-137.7,382.7,0
44,-142.3,-65.5,-187,394.8,0
45,-185.5,-19,-176.7,381.2,0
46,-227.1,-10.1,-189.3,426.5,0
47,-246.6,41.2,-221.5,426.9,0
48,-193.4,7.1,-220.1,406.4,0
49,-204.5,43,-218.1,406.4,-26.8
50,-218.4,93.4,-266,406.4,-15.4
51,-218.8,79.2,-305.9,406.4,39.1
52,-265.6,129.4,-298.6,406.4,28.4
53,-257.7,94,-254.1,406.4,11.4
54,-189.5,85.8,-292.1,384.4,11.4
55,-238.9,49.4,-183.3,361.4,11.4
56,-239.1,95.3,-214.6,347,11.4
57,-189.6,94.6,-227.3,310.9,11.4
58,-225.1,87.8,-221.8,347.7,11.4
59,-234.5,125.3,-255.8,347.7,17.3
60,-254.8,132.3,-295.7,347.7,70.5
61,-292.2,114.8,-301.4,347.7,131.1
62,-293,155.7,-312.4,318.6,131.1
63,-286.5,120.4,-330.4,365.4,131.1
64,-295.7,69.1,-324.9,420.4,131.1
65,-294.7,124.7,-370.4,409.3,131.1
66,-332.7,111.1,-363.3,453.8,131.1
67,-339.7,121.8,-410.2,497,131.1
68,-379.4,166.1,-405.2,487.4,131.1
69,-318.9,124.7,-429.4,492.5,131.1
70,-280.3,117.1,-426.6,458.7,131.1
71,-268.7,69.4,-370.4,438.6,131.1
